from_id,to_id,from,to,jobs,distance
25,31,Agglomeratie Leiden en Bollenstreek (CR),Zeeuwsch-Vlaanderen (CR),0.1,154.7
26,5,Agglomeratie 's-Gravenhage (CR),Zuidwest-Friesland (CR),0.1,166.6
26,7,Agglomeratie 's-Gravenhage (CR),Noord-Drenthe (CR),0.1,208.1
26,8,Agglomeratie 's-Gravenhage (CR),Zuidoost-Drenthe (CR),0.1,215.1
26,9,Agglomeratie 's-Gravenhage (CR),Zuidwest-Drenthe (CR),0.1,173.3
26,31,Agglomeratie 's-Gravenhage (CR),Zeeuwsch-Vlaanderen (CR),0.1,135.2
26,38,Agglomeratie 's-Gravenhage (CR),Midden-Limburg (CR),0.1,165.9
27,8,Delft en Westland (CR),Zuidoost-Drenthe (CR),0.1,219
27,12,Delft en Westland (CR),Twente (CR),0.1,189.9
27,14,Delft en Westland (CR),Achterhoek (CR),0.1,158.3
27,16,Delft en Westland (CR),Zuidwest-Gelderland (CR),0.1,82.4
27,18,Delft en Westland (CR),Kop van Noord-Holland (CR),0.1,110.8
27,20,Delft en Westland (CR),IJmond (CR),0.1,65.1
27,31,Delft en Westland (CR),Zeeuwsch-Vlaanderen (CR),0.1,130.2
27,37,Delft en Westland (CR),Noord-Limburg (CR),0.1,158.6
27,39,Delft en Westland (CR),Zuid-Limburg (CR),0.1,197.7
27,40,Delft en Westland (CR),Flevoland (CR),0.1,100.9
28,3,Oost-Zuid-Holland (CR),Overig Groningen (CR),0.1,208.8
28,9,Oost-Zuid-Holland (CR),Zuidwest-Drenthe (CR),0.1,146
28,10,Oost-Zuid-Holland (CR),Noord-Overijssel (CR),0.1,125.4
28,14,Oost-Zuid-Holland (CR),Achterhoek (CR),0.1,126.4
28,18,Oost-Zuid-Holland (CR),Kop van Noord-Holland (CR),0.1,86.2
28,19,Oost-Zuid-Holland (CR),Alkmaar en omgeving (CR),0.1,70.3
28,22,Oost-Zuid-Holland (CR),Zaanstreek (CR),0.1,49.5
28,38,Oost-Zuid-Holland (CR),Midden-Limburg (CR),0.1,143.5
28,39,Oost-Zuid-Holland (CR),Zuid-Limburg (CR),0.1,180.2
29,1,Groot-Rijnmond (CR),Oost-Groningen (CR),0.1,245.3
29,2,Groot-Rijnmond (CR),Delfzijl en omgeving (CR),0.1,269.5
29,4,Groot-Rijnmond (CR),Noord-Friesland (CR),0.1,203.8
29,5,Groot-Rijnmond (CR),Zuidwest-Friesland (CR),0.1,184.2
29,6,Groot-Rijnmond (CR),Zuidoost-Friesland (CR),0.1,186.6
29,7,Groot-Rijnmond (CR),Noord-Drenthe (CR),0.1,214.4
29,8,Groot-Rijnmond (CR),Zuidoost-Drenthe (CR),0.1,221.5
29,11,Groot-Rijnmond (CR),Zuidwest-Overijssel (CR),0.1,140.6
30,3,Zuidoost-Zuid-Holland (CR),Overig Groningen (CR),0.1,226.2
30,4,Zuidoost-Zuid-Holland (CR),Noord-Friesland (CR),0.1,207.5
30,10,Zuidoost-Zuid-Holland (CR),Noord-Overijssel (CR),0.1,138.2
30,19,Zuidoost-Zuid-Holland (CR),Alkmaar en omgeving (CR),0.1,107.4
30,20,Zuidoost-Zuid-Holland (CR),IJmond (CR),0.1,89.5
30,22,Zuidoost-Zuid-Holland (CR),Zaanstreek (CR),0.1,86.3
30,31,Zuidoost-Zuid-Holland (CR),Zeeuwsch-Vlaanderen (CR),0.1,129.7
30,37,Zuidoost-Zuid-Holland (CR),Noord-Limburg (CR),0.1,111.2
30,38,Zuidoost-Zuid-Holland (CR),Midden-Limburg (CR),0.1,120.1
31,13,Zeeuwsch-Vlaanderen (CR),Veluwe (CR),0.1,230.5
31,27,Zeeuwsch-Vlaanderen (CR),Delft en Westland (CR),0.1,131.8
31,28,Zeeuwsch-Vlaanderen (CR),Oost-Zuid-Holland (CR),0.1,146.1
32,2,Overig Zeeland (CR),Delfzijl en omgeving (CR),0.1,346.7
32,10,Overig Zeeland (CR),Noord-Overijssel (CR),0.1,227
32,12,Overig Zeeland (CR),Twente (CR),0.1,241.5
32,18,Overig Zeeland (CR),Kop van Noord-Holland (CR),0.1,217.1
32,21,Overig Zeeland (CR),Agglomeratie Haarlem (CR),0.1,144.2
32,38,Overig Zeeland (CR),Midden-Limburg (CR),0.1,184.6
32,39,Overig Zeeland (CR),Zuid-Limburg (CR),0.1,219.2
32,40,Overig Zeeland (CR),Flevoland (CR),0.1,194.5
33,5,West-Noord-Brabant (CR),Zuidwest-Friesland (CR),0.1,202.5
33,10,West-Noord-Brabant (CR),Noord-Overijssel (CR),0.1,166.3
33,11,West-Noord-Brabant (CR),Zuidwest-Overijssel (CR),0.1,150.6
33,18,West-Noord-Brabant (CR),Kop van Noord-Holland (CR),0.1,164.2
33,19,West-Noord-Brabant (CR),Alkmaar en omgeving (CR),0.1,140.7
33,20,West-Noord-Brabant (CR),IJmond (CR),0.1,122.3
33,22,West-Noord-Brabant (CR),Zaanstreek (CR),0.1,119.7
34,3,Midden-Noord-Brabant (CR),Overig Groningen (CR),0.1,238.8
34,9,Midden-Noord-Brabant (CR),Zuidwest-Drenthe (CR),0.1,172
34,11,Midden-Noord-Brabant (CR),Zuidwest-Overijssel (CR),0.1,127.7
34,18,Midden-Noord-Brabant (CR),Kop van Noord-Holland (CR),0.1,149.2
34,19,Midden-Noord-Brabant (CR),Alkmaar en omgeving (CR),0.1,135.2
34,20,Midden-Noord-Brabant (CR),IJmond (CR),0.1,126.2
34,21,Midden-Noord-Brabant (CR),Agglomeratie Haarlem (CR),0.1,110.9
35,3,Noordoost-Noord-Brabant (CR),Overig Groningen (CR),0.1,211
35,19,Noordoost-Noord-Brabant (CR),Alkmaar en omgeving (CR),0.1,133.2
35,20,Noordoost-Noord-Brabant (CR),IJmond (CR),0.1,118.6
35,21,Noordoost-Noord-Brabant (CR),Agglomeratie Haarlem (CR),0.1,109.3
